school,state,school_id,district_id,schoolwide_title1,title1_eligible,title1_school_status,lat,long,national_school_lunch_program,total_enroll,two_or_more_race,hawaiin_pi,white,black,hispanic,aapi,native
BAY SPRINGS MIDDLE SCHOOL,Georgia,1.30084E+11,1300840,Yes,Yes,5-Title I schoolwide school,33.6922,-84.9385,Yes participating without using any Provision or the CEO,887,61,0,489,218,115,3,1
BAYVALE ELEMENTARY SCHOOL,Georgia,1.30438E+11,1304380,Yes,Yes,5-Title I schoolwide school,33.448988,-82.053072,Yes under Community Eligibility Option (CEO),381,12,6,24,251,86,2,0
BAZOLINE E. USHER/COLLIER HEIGHTS ELMENTARY SCHOOL,Georgia,1.30012E+11,1300120,Yes,Yes,5-Title I schoolwide school,33.7725,-84.494,Yes under Community Eligibility Option (CEO),413,2,0,0,395,13,2,1
BEACH HIGH SCHOOL,Georgia,1.30102E+11,1301020,Yes,Yes,5-Title I schoolwide school,32.0544,-81.1167,No,966,25,0,34,839,63,4,1
BEAR CREEK MIDDLE SCHOOL,Georgia,1.30228E+11,1302280,Yes,Yes,5-Title I schoolwide school,33.5563,-84.6258,Yes participating without using any Provision or the CEO,1124,21,0,7,982,104,8,2
BEAR CREEK MIDDLE SCHOOL,Georgia,1.30029E+11,1300290,Yes,Yes,5-Title I schoolwide school,33.969131,-83.588162,No,686,25,0,379,103,145,32,2
BEAVER RIDGE ELEMENTARY SCHOOL,Georgia,1.30255E+11,1302550,Yes,Yes,5-Title I schoolwide school,33.9346,-84.1732,Yes participating without using any Provision or the CEO,938,22,1,23,218,597,76,1
BEAVERBROOK ELEMENTARY SCHOOL,Georgia,1.30252E+11,1302520,Yes,Yes,5-Title I schoolwide school,33.3213,-84.2955,Yes participating without using any Provision or the CEO,311,18,0,160,66,65,1,1
BEAVERDALE ELEMENTARY SCHOOL,Georgia,1.3057E+11,1305700,Yes,Yes,5-Title I schoolwide school,34.9062,-84.8636,Yes participating without using any Provision or the CEO,373,22,0,288,2,60,1,0
BEECHER HILLS ELEMENTARY SCHOOL,Georgia,1.30012E+11,1300120,Yes,Yes,5-Title I schoolwide school,33.7359,-84.4635,Yes under Community Eligibility Option (CEO),288,3,0,1,280,4,0,0
BELAIR K-8 SCHOOL,GEORGIA,1.30438E+11,1304380,Yes,Yes,5-Title I schoolwide school,33.448596,-82.121954,Yes under Community Eligibility Option (CEO),930,44,1,125,686,65,8,1
BELLS FERRY ELEMENTARY SCHOOL,Georgia,1.30129E+11,1301290,,No,6-Not a Title I school,34.0156,-84.5474,Yes participating without using any Provision or the CEO,732,34,0,192,242,154,107,3
BELMONT HILLS ELEMENTARY SCHOOL,Georgia,1.30129E+11,1301290,Yes,Yes,5-Title I schoolwide school,33.892,-84.5361,Yes participating without using any Provision or the CEO,329,4,0,23,56,239,7,0
BELWOOD ELEMENTARY SCHOOL,Georgia,1.30243E+11,1302430,Yes,Yes,5-Title I schoolwide school,34.4572,-84.9155,No,494,17,0,341,8,124,3,1
BEN HILL COUNTY MIDDLE SCHOOL,Georgia,1.30036E+11,1300360,Yes,Yes,5-Title I schoolwide school,31.7608,-83.2593,Yes under Community Eligibility Option (CEO),739,23,0,296,316,99,5,0
BEN HILL COUNTY PRIMARY SCHOOL,Georgia,1.30036E+11,1300360,Yes,Yes,5-Title I schoolwide school,31.765598,-83.256208,Yes under Community Eligibility Option (CEO),825,23,0,349,366,84,3,0
BEN HILL ELEMENTARY SCHOOL,Georgia,1.30036E+11,1300360,Yes,Yes,5-Title I schoolwide school,31.742288,-83.257934,Yes under Community Eligibility Option (CEO),620,16,0,262,271,68,3,0
BENEFIELD ELEMENTARY SCHOOL,Georgia,1.30255E+11,1302550,Yes,Yes,5-Title I schoolwide school,33.954593,-84.029859,Yes participating without using any Provision or the CEO,1160,32,7,86,353,582,100,0
BENNETT'S MILL MIDDLE SCHOOL,Georgia,1.30213E+11,1302130,Yes,Yes,5-Title I schoolwide school,33.443,-84.511,Yes participating without using any Provision or the CEO,965,62,0,136,580,135,52,0
BENTEEN ELEMENTARY SCHOOL,Georgia,1.30012E+11,1300120,Yes,Yes,5-Title I schoolwide school,33.7166,-84.3648,Yes under Community Eligibility Option (CEO),273,13,0,33,150,76,0,1
BERKELEY LAKE ELEMENTARY SCHOOL,Georgia,1.30255E+11,1302550,Yes,Yes,5-Title I schoolwide school,33.977706,-84.186256,Yes participating without using any Provision or the CEO,769,28,0,166,135,321,119,0
BERKMAR HIGH SCHOOL,Georgia,1.30255E+11,1302550,Yes,Yes,5-Title I schoolwide school,33.907,-84.1141,Yes participating without using any Provision or the CEO,2903,50,2,73,644,1894,235,5
BERKMAR MIDDLE SCHOOL,Georgia,1.30255E+11,1302550,Yes,Yes,5-Title I schoolwide school,33.9038,-84.1285,Yes participating without using any Provision or the CEO,1195,11,1,27,206,851,97,2
BERND ELEMENTARY SCHOOL,Georgia,1.30042E+11,1300420,Yes,Yes,5-Title I schoolwide school,32.8142,-83.5677,Yes under Community Eligibility Option (CEO),417,23,0,32,354,8,0,0
BERRIEN ACADEMY PERFORMANCE LEARNING CENTER,Georgia,1.30039E+11,1300390,,No,6-Not a Title I school,31.1927,-83.2645,No,67,0,0,58,5,4,0,0
BERRIEN ELEMENTARY SCHOOL,Georgia,1.30039E+11,1300390,Yes,Yes,5-Title I schoolwide school,31.212315,-83.26403,Yes under Community Eligibility Option (CEO),640,41,0,462,87,45,3,2
BERRIEN HIGH SCHOOL,Georgia,1.30039E+11,1300390,,No,6-Not a Title I school,31.2186,-83.2446,No,823,23,0,603,105,85,5,2
BERRIEN MIDDLE SCHOOL,Georgia,1.30039E+11,1300390,Yes,Yes,5-Title I schoolwide school,31.2118,-83.262,No,701,22,0,521,87,67,2,2
BERRIEN PRIMARY SCHOOL,Georgia,1.30039E+11,1300390,Yes,Yes,5-Title I schoolwide school,31.234601,-83.24445,Yes under Community Eligibility Option (CEO),786,50,0,571,103,58,2,2
BERTA WEATHERSBEE ELEMENTARY SCHOOL,Georgia,1.3E+11,1300001,Yes,Yes,5-Title I schoolwide school,33.0215,-85.0457,Yes under Community Eligibility Option (CEO),293,10,0,12,255,15,0,1
BESSIE L. BAGGETT ELEMENTARY,Georgia,1.30402E+11,1304020,Yes,Yes,5-Title I schoolwide school,33.8366,-84.7562,Yes participating without using any Provision or the CEO,606,38,1,222,230,106,6,3
BETHESDA ELEMENTARY SCHOOL,Georgia,1.30255E+11,1302550,Yes,Yes,5-Title I schoolwide school,33.9254,-84.086,Yes participating without using any Provision or the CEO,1175,22,1,49,255,744,103,1
BETHLEHEM ELEMENTARY SCHOOL,Georgia,1.30029E+11,1300290,Yes,Yes,5-Title I schoolwide school,33.9225,-83.7192,No,756,44,0,446,71,167,28,0
BETHLEHEM ELEMENTARY SCHOOL,Georgia,1.30282E+11,1302820,,No,6-Not a Title I school,33.382918,-84.144976,Yes participating without using any Provision or the CEO,464,37,0,43,327,44,12,1
BETHUNE ELEMENTARY SCHOOL,Georgia,1.30228E+11,1302280,Yes,Yes,5-Title I schoolwide school,33.5931,-84.4816,Yes under Community Eligibility Option (CEO),541,10,0,2,499,23,6,1
BETHUNE MIDDLE SCHOOL,Georgia,1.30099E+11,1300990,Yes,Yes,5-Title I schoolwide school,30.8156,-82.0115,Yes under Provision 2,583,40,0,341,182,11,5,4
BEULAH ELEMENTARY SCHOOL,Georgia,1.30186E+11,1301860,Yes,Yes,5-Title I schoolwide school,33.7745,-84.7037,Yes participating without using any Provision or the CEO,428,24,5,72,132,188,5,2
BIG A ELEMENTARY SCHOOL,Georgia,1.30456E+11,1304560,Yes,Yes,5-Title I schoolwide school,34.547328,-83.291831,Yes under Community Eligibility Option (CEO),446,52,0,318,46,28,2,0
BIG CREEK ELEMENTARY SCHOOL,Georgia,1.30222E+11,1302220,,No,6-Not a Title I school,34.1129,-84.1777,Yes participating without using any Provision or the CEO,612,17,0,187,17,30,360,1
BIG SHANTY ELEMENTARY SCHOOL,Georgia,1.30129E+11,1301290,,No,6-Not a Title I school,34.0275,-84.5967,Yes participating without using any Provision or the CEO,526,34,1,176,166,121,26,2
BILL ARP ELEMENTARY SCHOOL,Georgia,1.30186E+11,1301860,,No,6-Not a Title I school,33.6833,-84.7935,Yes participating without using any Provision or the CEO,617,56,0,201,230,121,8,1
BIRMINGHAM FALLS ELEMENTARY SCHOOL,Georgia,1.30228E+11,1302280,,No,6-Not a Title I school,34.144806,-84.340906,Yes participating without using any Provision or the CEO,613,25,0,508,20,31,26,3
BIRNEY ELEMENTARY SCHOOL,Georgia,1.30129E+11,1301290,Yes,Yes,5-Title I schoolwide school,33.8798,-84.5759,Yes participating without using any Provision or the CEO,690,13,1,35,274,346,20,1
BISHOP HALL CHARTER SCHOOL,Georgia,1.30489E+11,1304890,Yes,Yes,5-Title I schoolwide school,30.86055,-83.952626,Yes under Community Eligibility Option (CEO),220,9,0,147,50,13,1,0
BLACK'S MILL ELEMENTARY SCHOOL,Georgia,1.30165E+11,1301650,Yes,Yes,5-Title I schoolwide school,34.3527,-84.0826,Yes participating without using any Provision or the CEO,368,10,0,297,8,48,5,0
BLACKBURN ELEMENTARY SCHOOL,Georgia,1.30342E+11,1303420,Yes,Yes,5-Title I schoolwide school,34.4546,-84.0241,Yes participating without using any Provision or the CEO,650,19,0,573,4,50,2,2
BLACKMON ROAD MIDDLE SCHOOL,Georgia,1.30387E+11,1303870,,No,6-Not a Title I school,32.5484,-84.8962,Yes participating without using any Provision or the CEO,643,41,3,239,206,78,75,1
BLACKSHEAR ELEMENTARY SCHOOL,Georgia,1.30414E+11,1304140,Yes,Yes,5-Title I schoolwide school,31.31865,-82.244291,No,739,57,1,508,107,59,4,3
BLACKWELL ELEMENTARY SCHOOL,Georgia,1.30129E+11,1301290,,No,6-Not a Title I school,34.0366,-84.5263,Yes participating without using any Provision or the CEO,656,44,0,281,134,144,51,2
BLAKENEY ELEMENTARY,Georgia,1.30066E+11,1300660,Yes,Yes,5-Title I schoolwide school,33.079835,-81.991621,Yes under Community Eligibility Option (CEO),731,29,0,198,459,41,3,1
BLANCHARD ELEMENTARY SCHOOL,Georgia,1.30387E+11,1303870,,No,6-Not a Title I school,32.5381,-84.9357,Yes under Community Eligibility Option (CEO),469,39,0,253,122,47,8,0
BLANDFORD ELEMENTARY SCHOOL,Georgia,1.30198E+11,1301980,,No,6-Not a Title I school,32.2614,-81.2431,Yes participating without using any Provision or the CEO,751,55,0,474,141,73,8,0
BLECKLEY COUNTY ELEMENTARY SCHOOL,Georgia,1.30044E+11,1300440,Yes,Yes,5-Title I schoolwide school,32.404691,-83.329648,Yes under Community Eligibility Option (CEO),539,18,0,377,126,12,4,2
BLECKLEY COUNTY HIGH SCHOOL,Georgia,1.30044E+11,1300440,Yes,Yes,5-Title I schoolwide school,32.400611,-83.32879,Yes participating without using any Provision or the CEO,633,24,0,422,156,22,9,0
BLECKLEY COUNTY PRIMARY SCHOOL,Georgia,1.30044E+11,1300440,Yes,Yes,5-Title I schoolwide school,32.392953,-83.342139,Yes under Community Eligibility Option (CEO),751,25,0,536,170,16,4,0
BLECKLEY COUNTY SUCCESS ACADEMY,GEORGIA,1.30044E+11,1300440,Yes,Yes,5-Title I schoolwide school,32.410088,-83.32097,Yes under Community Eligibility Option (CEO),55,1,0,35,17,2,0,0
BLECKLEY MIDDLE SCHOOL,Georgia,1.30044E+11,1300440,Yes,Yes,5-Title I schoolwide school,32.411121,-83.322619,Yes participating without using any Provision or the CEO,567,8,0,386,148,21,4,0
BLOOMINGDALE ELEMENTARY SCHOOL,Georgia,1.30102E+11,1301020,Yes,Yes,5-Title I schoolwide school,32.1277,-81.3003,No,386,29,0,206,73,70,7,1
BLUE RIDGE ELEMENTARY SCHOOL,Georgia,1.30141E+11,1301410,,No,6-Not a Title I school,33.5377,-82.1059,Yes participating without using any Provision or the CEO,579,41,4,328,83,56,66,1
BLUE RIDGE ELEMENTARY SCHOOL,Georgia,1.30162E+11,1301620,Yes,Yes,5-Title I schoolwide school,34.771075,-84.95685,Yes under Provision 2,655,5,0,43,9,591,1,6
BLUE RIDGE ELEMENTARY SCHOOL,Georgia,1.3021E+11,1302100,Yes,Yes,5-Title I schoolwide school,34.8687,-84.3267,No,415,7,0,372,4,23,8,1
BLYTHE ELEMENTARY SCHOOL,Georgia,1.30438E+11,1304380,Yes,Yes,5-Title I schoolwide school,33.2989,-82.2075,Yes under Community Eligibility Option (CEO),278,22,0,142,85,28,0,1
BOB MATHIS ELEMENTARY SCHOOL,Georgia,1.30174E+11,1301740,Yes,Yes,5-Title I schoolwide school,33.689684,-84.240834,Yes under Community Eligibility Option (CEO),380,9,0,1,353,13,4,0
BOB RICHARDS REGIONAL YOUTH DETENTION CENTER,Georgia,1.30003E+11,1300026,Yes,Yes,5-Title I schoolwide school,34.278534,-85.206967,Yes participating without using any Provision or the CEO,3,0,0,1,2,0,0,0
BOLTON ACADEMY,Georgia,1.30012E+11,1300120,,No,6-Not a Title I school,33.8174,-84.4553,Yes participating without using any Provision or the CEO,538,36,1,133,212,150,5,1
BONAIRE ELEMENTARY SCHOOL,Georgia,1.30288E+11,1302880,,No,6-Not a Title I school,32.5473,-83.6007,Yes participating without using any Provision or the CEO,529,44,2,328,102,44,9,0
BONAIRE MIDDLE SCHOOL,Georgia,1.30288E+11,1302880,,No,6-Not a Title I school,32.544954,-83.588287,Yes participating without using any Provision or the CEO,1043,57,2,646,239,80,17,2
BONAIRE PRIMARY SCHOOL,GEORGIA,1.30288E+11,1302880,,No,6-Not a Title I school,32.537843,-83.570927,Yes participating without using any Provision or the CEO,559,61,0,354,90,42,12,0
BOOKER T. WASHINGTON HIGH SCHOOL,GEORGIA,1.30012E+11,1300120,Yes,Yes,5-Title I schoolwide school,33.753637,-84.420896,Yes under Community Eligibility Option (CEO),848,4,0,1,826,16,0,1
BOOTH MIDDLE SCHOOL,Georgia,1.30213E+11,1302130,,No,6-Not a Title I school,33.40189,-84.569941,Yes participating without using any Provision or the CEO,1142,64,1,627,135,152,158,5
BOSTON ELEMENTARY SCHOOL,Georgia,1.30111E+11,1301110,,No,6-Not a Title I school,34.1305,-84.5901,Yes participating without using any Provision or the CEO,609,44,0,394,50,113,8,0
BOWDON ELEMENTARY SCHOOL,Georgia,1.30084E+11,1300840,Yes,Yes,5-Title I schoolwide school,33.527,-85.2505,Yes participating without using any Provision or the CEO,628,56,0,452,76,40,4,0
BOWDON HIGH SCHOOL,Georgia,1.30084E+11,1300840,,No,6-Not a Title I school,33.5377,-85.2618,Yes participating without using any Provision or the CEO,427,37,0,313,43,33,1,0
BOWDON MIDDLE SCHOOL,Georgia,1.30084E+11,1300840,Yes,Yes,5-Title I schoolwide school,33.5638,-85.229,Yes participating without using any Provision or the CEO,281,19,0,201,41,19,0,1
BOYD ELEMENTARY SCHOOL,Georgia,1.30012E+11,1300120,Yes,Yes,5-Title I schoolwide school,33.7858,-84.4493,Yes under Community Eligibility Option (CEO),478,4,0,1,459,14,0,0
BOYNTON ELEMENTARY SCHOOL,Georgia,1.30093E+11,1300930,,No,6-Not a Title I school,34.92367,-85.185296,Yes participating without using any Provision or the CEO,562,23,1,496,11,25,4,2
BRADFIELD CENTER - AULT ACADEMY,Georgia,1.3E+11,1300001,Yes,Yes,5-Title I schoolwide school,33.034827,-85.01776,Yes under Provision 2,35,2,0,15,14,4,0,0
BRADWELL INSTITUTE,Georgia,1.3033E+11,1303300,Yes,Yes,5-Title I schoolwide school,31.8491,-81.604,No,1632,147,18,292,906,243,19,7
BRAELINN ELEMENTARY SCHOOL,Georgia,1.30213E+11,1302130,,No,6-Not a Title I school,33.3702,-84.5367,Yes participating without using any Provision or the CEO,493,25,0,380,23,36,28,1
BRAMLETT ELEMENTARY SCHOOL,Georgia,1.30029E+11,1300290,Yes,Yes,5-Title I schoolwide school,34.0381,-83.8091,No,653,36,0,416,28,125,48,0
BRANDON ELEMENTARY SCHOOL,Georgia,1.30012E+11,1300120,,No,6-Not a Title I school,33.83,-84.4156,Yes participating without using any Provision or the CEO,857,31,0,576,158,58,33,1
BRANDYWINE ELEMENTARY SCHOOL,GEORGIA,1.30222E+11,1302220,,No,6-Not a Title I school,34.132687,-84.247302,Yes participating without using any Provision or the CEO,1248,45,0,290,125,333,444,11
BRANTLEY COUNTY HIGH SCHOOL,Georgia,1.30048E+11,1300480,,No,6-Not a Title I school,31.196111,-82.029626,Yes under Community Eligibility Option (CEO),954,19,0,869,29,32,2,3
BRANTLEY COUNTY MIDDLE SCHOOL,Georgia,1.30048E+11,1300480,Yes,Yes,5-Title I schoolwide school,31.193284,-82.025235,Yes under Community Eligibility Option (CEO),491,14,0,440,13,23,1,0
BREMEN 4TH & 5TH GRADE ACADEMY,Georgia,1.30051E+11,1300510,,No,6-Not a Title I school,33.712576,-85.117831,Yes participating without using any Provision or the CEO,333,8,1,300,13,6,5,0
BREMEN HIGH SCHOOL,Georgia,1.30051E+11,1300510,,No,6-Not a Title I school,33.7177,-85.1389,Yes participating without using any Provision or the CEO,700,16,2,621,30,13,18,0
BREMEN MIDDLE SCHOOL,Georgia,1.30051E+11,1300510,,No,6-Not a Title I school,33.712576,-85.117831,Yes participating without using any Provision or the CEO,559,19,2,494,27,7,9,1
BREWER ELEMENTARY SCHOOL,Georgia,1.30387E+11,1303870,Yes,Yes,5-Title I schoolwide school,32.4557,-84.9481,Yes under Community Eligibility Option (CEO),524,18,0,14,384,105,1,2
BRIAR VISTA ELEMENTARY SCHOOL,Georgia,1.30174E+11,1301740,Yes,Yes,5-Title I schoolwide school,33.8101,-84.3383,Yes participating without using any Provision or the CEO,394,12,12,91,140,105,32,2
BRIARLAKE ELEMENTARY SCHOOL,Georgia,1.30174E+11,1301740,,No,6-Not a Title I school,33.8392,-84.2692,Yes participating without using any Provision or the CEO,406,30,0,160,113,76,27,0
BRIGHT STAR ELEMENTARY SCHOOL,Georgia,1.30186E+11,1301860,,No,6-Not a Title I school,33.7247,-84.7814,Yes participating without using any Provision or the CEO,460,26,0,50,316,64,4,0
BRIGHTEN ACADEMY,Georgia,1.30186E+11,1301860,,No,6-Not a Title I school,33.737391,-84.72764,Yes participating without using any Provision or the CEO,832,48,0,165,525,83,9,2
BRITT DAVID ELEMENTARY COMPUTER MAGNET ACADEMY,Georgia,1.30387E+11,1303870,,No,6-Not a Title I school,32.5273,-84.9546,Yes participating without using any Provision or the CEO,578,25,0,248,139,40,125,1
BRITT ELEMENTARY SCHOOL,Georgia,1.30255E+11,1302550,Yes,Yes,5-Title I schoolwide school,33.8539,-84.0104,Yes participating without using any Provision or the CEO,554,32,0,52,343,106,21,0
BROCKETT ELEMENTARY SCHOOL,Georgia,1.30174E+11,1301740,Yes,Yes,5-Title I schoolwide school,33.8375,-84.2221,Yes participating without using any Provision or the CEO,425,18,0,54,134,125,92,2
BROOKHAVEN INNOVATION ACADEMY,GEORGIA,1.30024E+11,1300242,Yes,Yes,5-Title I schoolwide school,33.940232,-84.220628,Yes participating without using any Provision or the CEO,543,56,0,93,232,136,26,0
BROOKLET ELEMENTARY SCHOOL,Georgia,1.30063E+11,1300630,Yes,Yes,5-Title I schoolwide school,32.3865,-81.6706,No,742,40,1,587,56,40,18,0
BROOKS COUNTY EARLY LEARNING CENTER,GEORGIA,1.30054E+11,1300540,,No,6-Not a Title I school,30.799619,-83.576309,Yes under Community Eligibility Option (CEO),96,3,0,31,50,12,0,0
BROOKS COUNTY HIGH SCHOOL,Georgia,1.30054E+11,1300540,Yes,Yes,5-Title I schoolwide school,30.810213,-83.563774,Yes under Community Eligibility Option (CEO),522,15,0,183,255,68,1,0
BROOKS COUNTY MIDDLE SCHOOL,Georgia,1.30054E+11,1300540,Yes,Yes,5-Title I schoolwide school,30.8149,-83.5653,Yes under Community Eligibility Option (CEO),483,22,0,138,274,49,0,0
BROOKS ELEMENTARY,Georgia,1.3015E+11,1301500,,No,6-Not a Title I school,33.493571,-84.788873,Yes participating without using any Provision or the CEO,731,41,0,526,79,73,8,4
BROOKVIEW ELEMENTARY SCHOOL,Georgia,1.30228E+11,1302280,Yes,Yes,5-Title I schoolwide school,33.6464,-84.4958,Yes under Community Eligibility Option (CEO),440,12,1,0,414,12,0,1
BROOKWOOD ELEMENTARY,Georgia,1.30222E+11,1302220,,No,6-Not a Title I school,34.0921,-84.1819,Yes participating without using any Provision or the CEO,992,47,0,416,36,78,411,4
BROOKWOOD ELEMENTARY SCHOOL,Georgia,1.30162E+11,1301620,Yes,Yes,5-Title I schoolwide school,34.7551,-84.973,Yes participating without using any Provision or the CEO,657,17,0,261,21,317,39,2
BROOKWOOD ELEMENTARY SCHOOL,Georgia,1.30141E+11,1301410,Yes,Yes,5-Title I schoolwide school,33.484,-82.1544,Yes participating without using any Provision or the CEO,551,49,0,254,126,93,29,0
BROOKWOOD ELEMENTARY SCHOOL,Georgia,1.30255E+11,1302550,,No,6-Not a Title I school,33.8806,-84.0421,Yes participating without using any Provision or the CEO,1409,75,1,424,458,176,270,5
BROOKWOOD HIGH SCHOOL,Georgia,1.30255E+11,1302550,,No,6-Not a Title I school,33.8837,-84.04,Yes participating without using any Provision or the CEO,3708,169,1,1137,1128,607,656,10
BROWN ELEMENTARY SCHOOL,Georgia,1.30123E+11,1301230,Yes,Yes,5-Title I schoolwide school,33.4943,-84.3639,Yes under Community Eligibility Option (CEO),688,22,0,8,554,89,15,0
BROWN MIDDLE SCHOOL,Georgia,1.30012E+11,1300120,Yes,Yes,5-Title I schoolwide school,33.7341,-84.4211,Yes under Community Eligibility Option (CEO),390,2,2,1,376,8,0,1
BROWNS MILL ELEMENTARY SCHOOL,Georgia,1.30174E+11,1301740,Yes,Yes,5-Title I schoolwide school,33.677,-84.1893,Yes under Community Eligibility Option (CEO),400,7,0,3,362,22,2,4
BROXTON-MARY HAYES ELEMENTARY,Georgia,1.30135E+11,1301350,Yes,Yes,5-Title I schoolwide school,31.621934,-82.883194,Yes under Community Eligibility Option (CEO),310,6,0,170,81,53,0,0
BRUCE ELEMENTARY SCHOOL,Georgia,1.30042E+11,1300420,Yes,Yes,5-Title I schoolwide school,32.798864,-83.651529,Yes under Community Eligibility Option (CEO),421,5,0,13,390,12,0,1
BRUMBY ELEMENTARY SCHOOL,Georgia,1.30129E+11,1301290,Yes,Yes,5-Title I schoolwide school,33.932627,-84.458332,Yes participating without using any Provision or the CEO,875,46,1,81,516,183,42,6
